approved,sku,product_name,expected_code,expected_brand,expected_color,expected_kind,expected_package,source,rank,status,score,query,title,image_url,page_url,local_path,reasons,ocr_text,visual_tags
,TON-HP-W9062X-AMR,Toner HP W9062X-EVP Amarelo,W9062X,HP,amarelo,toner,,duckduckgo,5,rejeitada,-18,HP W9062X toner amarelo original,Toner Original Hp 650a Amarelo Yellow Cp5520 - Ce272a | MadeiraMadeira,https://product-hub-prd.madeiramadeira.com.br/783218647/images/e0e2440f-767e-49b9-ac6f-3ac3869c22445a000f68a09a996e2f8f4631ef.jpg,https://www.madeiramadeira.com.br/toner-original-hp-650a-amarelo-yellow-cp5520-ce272a-783218647.html,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\TON-HP-W9062X-AMR\_review\05-product-hub-prd.madeiramadeira.com.br-13edacba2f.jpg,codigo W9062X nao encontrado | marca HP encontrada | tipo toner encontrado | cor amarelo encontrada,,
,TON-HP-W9062X-AMR,Toner HP W9062X-EVP Amarelo,W9062X,HP,amarelo,toner,,duckduckgo,6,rejeitada,-18,HP W9062X toner amarelo original,Toner Original Hp Ce272a M750 Cp5525 650a Amarelo | Leroy Merlin,https://cdn.leroymerlin.com.br/products/toner_original_hp_ce272a_m750_cp5525_650a_amarelo_1572584504_45cd_600x600.jpg,https://www.leroymerlin.com.br/toner-original-hp-ce272a-m750-cp5525-650a-amarelo_1572584504,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\TON-HP-W9062X-AMR\_review\06-cdn.leroymerlin.com.br-2f9aa5d286.jpg,codigo W9062X nao encontrado | marca HP encontrada | tipo toner encontrado | cor amarelo encontrada,,
,TON-HP-W9062X-AMR,Toner HP W9062X-EVP Amarelo,W9062X,HP,amarelo,toner,,duckduckgo,8,rejeitada,-18,HP W9062X toner amarelo original,Toner Original HP 659X Amarelo - Limifield,https://www.limifield.pt/wp-content/uploads/2023/05/Toner-Original-HP-659X-Amarelo.jpg,https://www.limifield.pt/loja/toner-original-hp-659x-amarelo/,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\TON-HP-W9062X-AMR\_review\08-www.limifield.pt-d4dea023a7.jpg,codigo W9062X nao encontrado | marca HP encontrada | tipo toner encontrado | cor amarelo encontrada,,
,TON-HP-W9062X-AMR,Toner HP W9062X-EVP Amarelo,W9062X,HP,amarelo,toner,,duckduckgo,5,rejeitada,-138,Toner HP W9062X-EVP Amarelo,Toner HP 414X Amarelo Original W2022XC para Impressoras LaserJet M454 e ...,https://images.tcdn.com.br/img/img_prod/1130603/toner_hp_414x_amarelo_original_w2022xc_5323517_1_87bd7c16b518f7dc1bca3de52720beba.jpg,https://www.casadasimpressoras.com.br/toners/toner-hp-414x-amarelo-original-w2022xc,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\TON-HP-W9062X-AMR\_review\05-images.tcdn.com.br-7035d8f6be.jpg,codigo W9062X nao encontrado | codigo conflitante: W2022XC | marca HP encontrada | tipo toner encontrado | cor amarelo encontrada,,
,TON-HP-W9063X-MAG,Toner HP W9063X-EVP Magenta,W9063X,HP,magenta,toner,,duckduckgo,4,rejeitada,7,HP W9063X toner magenta original,HP 305A Magenta Original LaserJet Toner Cartridge - HP Store UK,https://store.hp.com/UKStore/Html/Merch/Images/c02639764_1750x1285.jpg,https://store.hp.com/UKStore/Merch/Product.aspx?id=CE413A&opt=&sel=SUP,,codigo W9063X nao encontrado | marca HP encontrada | fonte/imagem oficial ou confiavel para HP | tipo toner encontrado | cor magenta encontrada | download falhou: HTTP Error 403: Forbidden,,
,TON-HP-W9063X-MAG,Toner HP W9063X-EVP Magenta,W9063X,HP,magenta,toner,,duckduckgo,2,rejeitada,-18,Toner HP W9063X-EVP Magenta,HP 205A toner LaserJet Magenta authentique (CF533A) - EVO TRADING,https://evotrading.ma/wp-content/uploads/2024/03/hp-205a-toner-laserjet-magenta-authentique.jpg,https://evotrading.ma/produit/hp-205a-toner-laserjet-magenta-authentique/,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\TON-HP-W9063X-MAG\_review\02-evotrading.ma-ebf53aa8c7.jpg,codigo W9063X nao encontrado | marca HP encontrada | tipo toner encontrado | cor magenta encontrada,,
,TON-HP-W9063X-MAG,Toner HP W9063X-EVP Magenta,W9063X,HP,magenta,toner,,duckduckgo,3,rejeitada,-18,Toner HP W9063X-EVP Magenta,TONER HP 128A MAGENTA,https://rimage.ripley.com.pe/home.ripley/Attachment/MKP/3919/PMP20000136111/imagen2-1.jpeg,https://simple.ripley.com.pe/toner-hp-128a-magenta-pmp20000136111,,codigo W9063X nao encontrado | marca HP encontrada | tipo toner encontrado | cor magenta encontrada | download falhou: HTTP Error 403: Forbidden,,
,TON-HP-W9063X-MAG,Toner HP W9063X-EVP Magenta,W9063X,HP,magenta,toner,,duckduckgo,4,rejeitada,-18,Toner HP W9063X-EVP Magenta,HP 205A toner LaserJet Magenta authentique (CF533A) - EVO TRADING,https://evotrading.ma/wp-content/uploads/2024/03/hp-205a-toner-laserjet-magenta-authentique-3.jpg,https://evotrading.ma/produit/hp-205a-toner-laserjet-magenta-authentique/,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\TON-HP-W9063X-MAG\_review\04-evotrading.ma-efe22da028.jpg,codigo W9063X nao encontrado | marca HP encontrada | tipo toner encontrado | cor magenta encontrada,,
,TON-HP-W9063X-MAG,Toner HP W9063X-EVP Magenta,W9063X,HP,magenta,toner,,duckduckgo,5,rejeitada,-18,Toner HP W9063X-EVP Magenta,Toner HP 508X LaserJet Magenta grande capacité authentique (CF363X ...,https://evotrading.ma/wp-content/uploads/2019/06/toner-hp-508x-laserjet-magenta-grande-capacite-authentique-cf360x.jpg,https://evotrading.ma/produit/toner-hp-508x-laserjet-magenta-grande-capacite-authentique-cf363x/,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\TON-HP-W9063X-MAG\_review\05-evotrading.ma-614d7b376b.jpg,codigo W9063X nao encontrado | marca HP encontrada | tipo toner encontrado | cor magenta encontrada,,
,TON-HP-W9063X-MAG,Toner HP W9063X-EVP Magenta,W9063X,HP,magenta,toner,,duckduckgo,7,rejeitada,-18,Toner HP W9063X-EVP Magenta,Tóner 202A CF503A Original Magenta Impresoras HP Color M254 M280 M281,https://gruposuministros.co/3155-large_default/toner-202a-hp-magenta-para-impresoras-hp-color-laserjet-pro-m254-mfp-m280-mfp-m281.jpg,https://gruposuministros.co/hp/449-toner-202a-hp-magenta-para-impresoras-hp-color-laserjet-pro-m254-mfp-m280-mfp-m281-2143657890.html,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\TON-HP-W9063X-MAG\_review\07-gruposuministros.co-6bf55e4cb0.jpg,codigo W9063X nao encontrado | marca HP encontrada | tipo toner encontrado | cor magenta encontrada,,
,TON-HP-W9063X-MAG,Toner HP W9063X-EVP Magenta,W9063X,HP,magenta,toner,,duckduckgo,8,rejeitada,-18,Toner HP W9063X-EVP Magenta,HP 305A toner LaserJet magenta authentique (CE413A) - EVO TRADING,https://evotrading.ma/wp-content/uploads/2024/03/hp-305a-toner-laserjet-magenta-authentique-1.jpg,https://evotrading.ma/produit/hp-305a-toner-laserjet-magenta-authentique/,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\TON-HP-W9063X-MAG\_review\08-evotrading.ma-ce34a2ff8c.jpg,codigo W9063X nao encontrado | marca HP encontrada | tipo toner encontrado | cor magenta encontrada,,
,TON-HP-W9063X-MAG,Toner HP W9063X-EVP Magenta,W9063X,HP,magenta,toner,,duckduckgo,2,rejeitada,-18,HP W9063X toner magenta original,HP 643A Magenta Original Toner Toner Corporation,https://tonercorp.co.za/wp-content/uploads/2026/01/Gold-Elegant-Aesthetic-Feminine-Twitter-Profile-Picture-8.png,https://www.tonercorp.co.za/product/hp-643a-magenta-original-toner/,,"codigo W9063X nao encontrado | marca HP encontrada | tipo toner encontrado | cor magenta encontrada | download falhou: <urlopen error [WinError 10060] Uma tentativa de conexão falhou porque o componente conectado não respondeu
corretamente após um período de tempo ou a conexão estabelecida falhou
porque o host conectado não respondeu>",,
