sku,name,status,icecat_attempt,search_url,page_url,downloaded,processed,failed_images,message,raw_dir,output_dir
DRU-MIN-IUP14M-MAG,DRU-MIN-IUP14M-MAG,dry_run,IUP14M | DRU-MIN-IUP14M-MAG,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\DRU-MIN-IUP14M-MAG,C:\Users\Sama Contabilidade\Desktop\MSN\products\DRU-MIN-IUP14M-MAG
DRU-SAM-R204,DRU-SAM-R204,dry_run,SAM-R204 | DRU-SAM-R204,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\DRU-SAM-R204,C:\Users\Sama Contabilidade\Desktop\MSN\products\DRU-SAM-R204
DRU-SAM-R304,DRU-SAM-R304,dry_run,SAM-R304 | DRU-SAM-R304,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\DRU-SAM-R304,C:\Users\Sama Contabilidade\Desktop\MSN\products\DRU-SAM-R304
DRU-SAM-R307,DRU-SAM-R307,dry_run,SAM-R307 | DRU-SAM-R307,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\DRU-SAM-R307,C:\Users\Sama Contabilidade\Desktop\MSN\products\DRU-SAM-R307
DRU-SAM-R6555A,DRU-SAM-R6555A,dry_run,SAM-R6555A | DRU-SAM-R6555A,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\DRU-SAM-R6555A,C:\Users\Sama Contabilidade\Desktop\MSN\products\DRU-SAM-R6555A
DRU-SAM-R659,DRU-SAM-R659,dry_run,SAM-R659 | DRU-SAM-R659,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\DRU-SAM-R659,C:\Users\Sama Contabilidade\Desktop\MSN\products\DRU-SAM-R659
DRU-SAM-R708,DRU-SAM-R708,dry_run,SAM-R708 | DRU-SAM-R708,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\DRU-SAM-R708,C:\Users\Sama Contabilidade\Desktop\MSN\products\DRU-SAM-R708
DRU-SAM-R806K-PRT,DRU-SAM-R806K-PRT,dry_run,SAM-R806K | DRU-SAM-R806K-PRT,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\DRU-SAM-R806K-PRT,C:\Users\Sama Contabilidade\Desktop\MSN\products\DRU-SAM-R806K-PRT
DRU-SAM-R806X,DRU-SAM-R806X,dry_run,SAM-R806X | DRU-SAM-R806X,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\DRU-SAM-R806X,C:\Users\Sama Contabilidade\Desktop\MSN\products\DRU-SAM-R806X
DRU-SAM-R808,DRU-SAM-R808,dry_run,SAM-R808 | DRU-SAM-R808,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\DRU-SAM-R808,C:\Users\Sama Contabilidade\Desktop\MSN\products\DRU-SAM-R808
DRU-XER-108R00645,DRU-XER-108R00645,dry_run,XER-108R00645 | DRU-XER-108R00645,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\DRU-XER-108R00645,C:\Users\Sama Contabilidade\Desktop\MSN\products\DRU-XER-108R00645
DRU-XER-B7025,DRU-XER-B7025,dry_run,XER-B7025 | DRU-XER-B7025,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\DRU-XER-B7025,C:\Users\Sama Contabilidade\Desktop\MSN\products\DRU-XER-B7025
DRU-XER-B9100,DRU-XER-B9100,dry_run,XER-B9100 | DRU-XER-B9100,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\DRU-XER-B9100,C:\Users\Sama Contabilidade\Desktop\MSN\products\DRU-XER-B9100
DRU-XER-C600-AMR,DRU-XER-C600-AMR,dry_run,XER-C600 | DRU-XER-C600-AMR,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\DRU-XER-C600-AMR,C:\Users\Sama Contabilidade\Desktop\MSN\products\DRU-XER-C600-AMR
DRU-XER-C600-CIA,DRU-XER-C600-CIA,dry_run,XER-C600 | DRU-XER-C600-CIA,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\DRU-XER-C600-CIA,C:\Users\Sama Contabilidade\Desktop\MSN\products\DRU-XER-C600-CIA
DRU-XER-C600-MAG,DRU-XER-C600-MAG,dry_run,XER-C600 | DRU-XER-C600-MAG,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\DRU-XER-C600-MAG,C:\Users\Sama Contabilidade\Desktop\MSN\products\DRU-XER-C600-MAG
DRU-XER-C600-PRT,DRU-XER-C600-PRT,dry_run,XER-C600 | DRU-XER-C600-PRT,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\DRU-XER-C600-PRT,C:\Users\Sama Contabilidade\Desktop\MSN\products\DRU-XER-C600-PRT
DRU-XER-C8130,DRU-XER-C8130,dry_run,XER-C8130 | DRU-XER-C8130,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\DRU-XER-C8130,C:\Users\Sama Contabilidade\Desktop\MSN\products\DRU-XER-C8130
FUS-GEN-6245-SC,FUS-GEN-6245-SC,dry_run,GEN-6245 | FUS-GEN-6245-SC,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\FUS-GEN-6245-SC,C:\Users\Sama Contabilidade\Desktop\MSN\products\FUS-GEN-6245-SC
FUS-GEN-K7400,FUS-GEN-K7400,dry_run,GEN-K7400 | FUS-GEN-K7400,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\FUS-GEN-K7400,C:\Users\Sama Contabilidade\Desktop\MSN\products\FUS-GEN-K7400
FUS-HP-110,FUS-HP-110,dry_run,HP HP-110 | HP-110 | FUS-HP-110,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\FUS-HP-110,C:\Users\Sama Contabilidade\Desktop\MSN\products\FUS-HP-110
FUS-HP-110V,FUS-HP-110V,dry_run,HP HP-110V | HP-110V | FUS-HP-110V,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\FUS-HP-110V,C:\Users\Sama Contabilidade\Desktop\MSN\products\FUS-HP-110V
FUS-HP-110V-736,FUS-HP-110V-736,dry_run,HP HP-110V-736 | HP-110V-736 | FUS-HP-110V-736,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\FUS-HP-110V-736,C:\Users\Sama Contabilidade\Desktop\MSN\products\FUS-HP-110V-736
FUS-HP-E7782,FUS-HP-E7782,dry_run,HP HP-E7782 | HP-E7782 | FUS-HP-E7782,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\FUS-HP-E7782,C:\Users\Sama Contabilidade\Desktop\MSN\products\FUS-HP-E7782
FUS-HP-JC6604148A,FUS-HP-JC6604148A,dry_run,HP JC6604148A | JC6604148A | FUS-HP-JC6604148A,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\FUS-HP-JC6604148A,C:\Users\Sama Contabilidade\Desktop\MSN\products\FUS-HP-JC6604148A
